Farm_ID,State,District,Crop,Season,Farm_Area_Hectares,Rainfall_mm,Avg_Temperature_C,Humidity_pct,Sunlight_Hours_Day,Soil_pH,Soil_Moisture_pct,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Irrigation_Method,Fertilizer_kg_ha,Pesticide_Litre_ha,Seed_Quality_Score,Yield_Tonnes_Ha,Production_Tonnes,Market_Price_INR_Tonne,Total_Cost_INR,Revenue_INR,Profit_INR,Water_Used_m3,Water_Efficiency_t_per_1000m3,Disease_Pest_Risk_pct
SF10017,Telangana,Indore,Cotton,Zaid,3.93,80.0,28.4,46.6,5.0,7.08,17.9,121.4,49.3,106.2,Flood,91.1,7.6,0.96,1.0,3.93,64034,218756,251654,32898,4210,0.933,32.3
SF10018,Maharashtra,Ludhiana,Maize,Rabi,11.04,450.4,21.6,55.3,6.9,5.87,30.7,118.8,93.4,114.4,Rainfed,104.6,5.64,0.79,1.54,17.0,20107,727865,341819,-386046,3453,4.923,43.0
SF10019,Punjab,Nalgonda,Groundnut,Kharif,2.46,851.7,29.0,71.8,6.0,5.89,23.5,155.3,40.4,81.9,Drip,128.2,6.95,0.73,1.13,2.78,66966,143907,186165,42258,1220,2.279,53.1
SF10020,Madhya Pradesh,Krishna,Pulses,Rabi,14.48,415.8,22.3,48.3,9.1,6.67,28.6,68.3,40.3,88.1,Drip,274.2,8.54,0.87,1.1,15.93,69127,1125931,1101193,-24738,4803,3.317,27.3
SF10021,Punjab,Ludhiana,Rice,Rabi,0.95,409.8,23.2,58.7,7.0,7.49,24.8,85.6,88.7,83.9,Flood,206.0,2.22,0.94,1.6,1.52,20424,58222,31044,-27178,1814,0.838,45.8
SF10022,Punjab,Krishna,Rice,Rabi,5.62,918.7,22.2,66.8,7.5,7.35,22.8,129.7,65.0,93.4,Sprinkler,179.8,7.59,0.79,2.4,13.49,19160,427915,258468,-169447,8350,1.616,47.7
SF10023,Andhra Pradesh,Raichur,Wheat,Rabi,12.59,212.6,23.2,72.2,8.6,7.35,28.0,99.3,63.0,65.7,Drip,162.4,8.68,0.9,1.25,15.74,24218,820257,381191,-439066,6064,2.596,32.0
SF10024,Andhra Pradesh,Nalgonda,Groundnut,Kharif,2.49,1021.3,26.1,70.1,6.7,7.31,15.6,127.8,60.1,68.1,Flood,129.7,7.95,0.9,1.08,2.69,64375,186339,173169,-13170,1713,1.57,41.6
SF10025,Telangana,Nashik,Wheat,Zaid,14.47,430.7,32.3,61.2,8.7,6.58,17.1,101.2,37.7,115.8,Rainfed,233.6,3.37,0.66,2.3,33.28,27284,1203928,908012,-295916,3869,8.602,64.0
SF10026,Gujarat,Indore,Pulses,Kharif,13.3,853.0,35.8,85.1,5.2,5.52,25.6,112.5,71.6,98.7,Sprinkler,265.5,4.23,0.67,0.3,3.99,82458,998865,329007,-669858,5584,0.715,75.8
SF10027,Madhya Pradesh,Krishna,Rice,Rabi,13.8,578.3,22.3,61.6,7.7,6.21,18.6,89.4,75.3,81.5,Drip,216.4,2.45,0.98,2.9,40.02,25815,744909,1033116,288207,17866,2.24,56.2
SF10028,Punjab,Rajkot,Rice,Rabi,10.47,93.9,27.3,45.4,7.7,6.89,27.0,115.6,64.9,123.2,Rainfed,210.2,2.42,0.74,2.45,25.65,21364,545453,547987,2534,9077,2.826,45.7
SF10029,Tamil Nadu,Rajkot,Maize,Rabi,12.94,443.1,23.0,45.7,6.3,6.32,,139.3,51.3,92.5,Sprinkler,286.7,8.22,0.97,3.01,38.95,20272,1176978,789594,-387384,8230,4.733,32.1
SF10030,Tamil Nadu,Rajkot,Groundnut,Zaid,13.15,565.4,32.7,50.7,7.3,6.65,15.6,158.0,46.8,151.0,Sprinkler,147.4,5.5,0.89,1.94,25.51,49492,695563,1262541,566978,7423,3.437,30.6
SF10031,Telangana,Nalgonda,Chilli,Rabi,11.96,284.2,24.1,62.1,7.0,6.93,31.7,188.8,47.8,101.6,Rainfed,250.8,4.06,0.66,1.51,18.06,102219,738746,1846075,1107329,4721,3.825,40.2
SF10032,Madhya Pradesh,Krishna,Groundnut,Zaid,0.69,372.1,31.7,30.8,7.4,7.92,12.2,127.3,66.2,131.1,Drip,139.4,4.39,0.96,0.3,0.21,54155,43431,11373,-32058,259,0.811,37.4
SF10033,Madhya Pradesh,Indore,Cotton,Kharif,11.35,1066.8,30.3,76.6,6.4,7.56,35.9,104.2,49.9,106.8,Sprinkler,230.7,4.16,0.7,0.64,7.26,72112,782371,523533,-258838,9585,0.757,67.7
SF10034,Andhra Pradesh,Guntur,Maize,Kharif,9.8,849.0,26.4,88.0,8.2,6.03,35.5,154.3,49.1,129.8,Sprinkler,220.2,4.34,0.72,3.65,35.77,21914,782502,783864,1362,5884,6.079,52.1
SF10035,Madhya Pradesh,Ludhiana,Wheat,Rabi,11.57,427.5,24.0,59.3,6.7,6.71,28.5,157.3,71.5,84.3,Sprinkler,186.8,1.13,0.86,3.83,44.31,26126,648827,1157643,508816,5400,8.206,61.4
SF10036,Madhya Pradesh,Indore,Cotton,Zaid,7.05,179.4,34.1,55.5,8.7,7.0,14.8,94.3,66.8,101.3,Flood,231.5,7.26,0.96,0.75,5.29,66996,511293,354409,-156884,5944,0.89,29.0
SF10037,Tamil Nadu,Nalgonda,Cotton,Rabi,3.11,429.3,23.6,60.1,7.9,6.96,20.7,40.0,73.9,114.2,Drip,229.0,6.96,0.68,1.71,5.32,52396,243775,278747,34972,1780,2.989,33.0
SF10038,Andhra Pradesh,Ludhiana,Cotton,Kharif,2.79,820.1,26.3,74.6,7.5,7.62,31.9,123.2,91.7,80.6,Flood,153.2,5.91,0.68,0.7,1.95,66405,175756,129490,-46266,3058,0.638,52.5
SF10039,Telangana,Warangal,Wheat,Kharif,4.69,657.7,27.1,64.9,6.2,7.85,31.9,87.6,87.5,81.5,Drip,218.9,4.78,0.92,0.98,4.6,25408,293568,116877,-176691,2392,1.923,50.0
SF10040,Tamil Nadu,Ludhiana,Maize,Kharif,6.12,936.0,31.8,56.3,7.1,7.03,30.3,91.9,48.0,103.6,Rainfed,46.3,8.07,0.79,3.24,19.83,24731,321710,490416,168706,2144,9.249,46.7
SF10041,Karnataka,Indore,Pulses,Kharif,12.31,768.4,29.0,67.0,6.1,8.22,26.7,69.5,49.1,98.6,Flood,214.2,7.11,0.73,0.3,3.69,95238,791517,351428,-440089,6153,0.6,54.7
SF10042,Maharashtra,Erode,Wheat,Zaid,13.35,156.6,30.8,51.7,9.9,6.34,19.5,135.7,75.0,115.5,Sprinkler,158.2,5.76,0.77,1.69,22.56,22869,897488,515925,-381563,7377,3.058,17.1
SF10043,Karnataka,Krishna,Rice,Kharif,9.47,639.2,22.6,74.9,4.9,5.73,43.6,66.1,54.9,125.5,Rainfed,313.4,4.78,0.94,0.9,8.52,25346,744619,215948,-528671,7926,1.075,52.0
SF10044,Tamil Nadu,Erode,Wheat,Rabi,7.56,460.1,24.0,58.7,6.7,6.6,,96.2,42.9,139.3,Sprinkler,241.9,5.34,0.69,2.6,19.66,24887,550176,489278,-60898,4545,4.326,44.7
SF10045,Madhya Pradesh,Krishna,Wheat,Kharif,14.23,853.7,28.2,77.6,6.9,7.04,31.8,109.5,61.7,148.7,Drip,163.7,4.26,0.85,3.35,47.67,23547,980255,1122485,142230,5966,7.99,55.4
SF10046,Telangana,Erode,Wheat,Kharif,2.14,485.7,28.0,80.1,7.2,8.08,34.7,111.0,56.6,74.9,Drip,146.2,4.25,0.95,0.32,0.68,25224,116463,17152,-99311,791,0.86,49.4
SF10047,Andhra Pradesh,Nalgonda,Groundnut,Kharif,5.6,728.5,27.0,76.7,6.9,6.36,27.4,92.2,72.7,80.9,Sprinkler,194.0,4.7,0.71,2.63,14.73,53568,337133,789057,451924,3052,4.826,63.2
SF10048,Punjab,Ludhiana,Sugarcane,Zaid,7.68,90.0,31.9,52.7,9.8,6.51,18.3,164.0,59.6,54.9,Sprinkler,136.9,8.04,0.76,36.69,281.78,3682,480826,1037514,556688,13263,21.246,30.0
SF10049,Andhra Pradesh,Erode,Chilli,Zaid,5.52,91.3,34.1,63.0,7.2,5.55,20.9,124.8,75.2,130.8,Rainfed,207.3,4.96,0.87,0.3,1.66,102697,376564,170477,-206087,1257,1.321,43.9
SF10050,Madhya Pradesh,Erode,Rice,Rabi,8.8,792.2,21.5,51.4,8.0,7.8,21.8,104.1,61.9,82.3,Flood,223.7,6.7,0.7,0.76,6.69,19703,741670,131813,-609857,15881,0.421,53.6
SF10051,Telangana,Warangal,Rice,Zaid,9.82,227.2,29.5,63.5,7.6,6.81,17.8,122.5,54.9,97.0,Flood,162.7,0.62,0.78,2.87,28.18,21316,534995,600685,65690,16682,1.689,49.4
SF10052,Andhra Pradesh,Rajkot,Pulses,Rabi,8.61,80.0,24.8,60.9,7.5,5.43,28.0,107.1,46.4,137.6,Sprinkler,178.1,4.92,1.0,0.3,2.58,71065,492155,183348,-308807,3106,0.831,40.2
SF10053,Gujarat,Indore,Rice,Zaid,11.52,206.2,34.3,50.3,10.0,7.01,32.7,106.7,50.4,98.1,Flood,112.7,6.15,0.87,1.69,19.47,19275,674473,375284,-299189,20211,0.963,18.9
SF10054,Telangana,Nalgonda,Maize,Kharif,3.18,591.2,28.1,63.9,6.8,5.66,30.8,126.9,27.6,137.7,Flood,289.5,5.4,0.77,1.11,3.53,17359,254223,61277,-192946,2327,1.517,39.8
SF10055,Andhra Pradesh,Raichur,Rice,Rabi,7.08,460.0,22.8,57.4,8.5,7.14,19.2,125.2,30.8,126.7,Flood,115.3,6.38,0.94,2.92,20.67,24229,591425,500813,-90612,16012,1.291,29.2
SF10056,Karnataka,Warangal,Groundnut,Rabi,11.7,167.3,26.2,62.4,6.8,6.3,21.8,122.8,27.7,135.0,Drip,240.5,5.39,0.94,,19.42,50837,780159,987255,207096,4665,4.163,39.4
SF10057,Telangana,Nashik,Pulses,Rabi,6.91,489.4,24.0,67.2,9.1,6.46,31.0,121.2,55.7,107.5,Drip,212.0,6.15,0.87,1.49,10.3,70845,462116,729704,267588,2165,4.758,34.5
SF10058,Telangana,Nashik,Maize,Zaid,7.06,336.9,29.4,62.0,9.0,7.53,11.3,152.4,63.1,106.1,Rainfed,116.8,4.01,0.86,1.16,8.19,22633,430059,185364,-244695,2031,4.032,33.3
SF10059,Madhya Pradesh,Raichur,Maize,Zaid,6.62,278.1,31.1,59.3,8.3,7.55,19.1,129.3,82.0,47.0,Flood,168.0,2.1,0.89,1.34,8.87,18651,455124,165434,-289690,5550,1.598,47.6
SF10060,Gujarat,Erode,Groundnut,Kharif,10.0,664.7,25.1,72.3,6.8,6.49,32.8,118.6,31.3,69.5,Flood,139.1,5.53,0.76,2.07,20.7,59223,619756,1225916,606160,7146,2.897,42.2
SF10061,Karnataka,Guntur,Groundnut,Kharif,14.38,1002.0,27.9,63.0,5.5,6.62,30.2,127.4,61.8,86.2,Rainfed,194.4,5.01,0.97,1.73,24.88,53834,972766,1339390,366624,4408,5.644,66.6
SF10062,Karnataka,Ludhiana,Cotton,Rabi,14.23,404.4,19.4,55.8,7.9,6.99,22.6,182.0,52.9,80.5,Drip,127.2,1.21,0.9,1.8,25.61,70385,815920,1802560,986640,9798,2.614,50.7
SF10063,Andhra Pradesh,Warangal,Cotton,Zaid,5.46,148.5,31.2,59.9,7.7,6.31,21.5,81.9,56.0,124.3,Flood,157.7,3.34,0.7,0.91,4.97,66056,309945,328298,18353,4831,1.029,31.8
SF10064,Tamil Nadu,Warangal,Rice,Kharif,3.95,1028.8,24.2,69.2,6.2,5.95,29.4,105.4,48.3,123.3,Flood,136.3,4.4,0.92,1.62,6.4,23591,258728,150982,-107746,8230,0.778,46.8
SF10065,Telangana,Indore,Pulses,Kharif,14.43,1012.7,30.2,65.2,7.9,6.71,23.2,102.9,66.6,93.5,Rainfed,276.7,5.63,0.97,0.99,14.29,86381,980375,1234384,254009,2290,6.24,53.6
SF10066,Maharashtra,Rajkot,Groundnut,Rabi,7.49,234.8,20.5,49.1,8.4,6.55,30.3,84.7,72.9,72.2,Sprinkler,107.5,3.99,0.82,1.42,10.64,60410,506733,642762,136029,3460,3.075,59.9
SF10067,Tamil Nadu,Rajkot,Wheat,Rabi,7.25,410.0,23.4,61.1,9.4,7.08,28.3,199.3,60.4,66.8,Flood,198.1,7.33,0.8,2.66,19.28,20402,542011,393351,-148660,4731,4.075,41.4
SF10068,Maharashtra,Ludhiana,Pulses,Rabi,5.28,498.8,26.9,51.3,7.5,6.21,29.0,152.6,48.9,95.2,Drip,114.7,5.33,0.69,1.37,7.23,71305,292198,515535,223337,1540,4.695,44.1
SF10069,Andhra Pradesh,Raichur,Rice,Kharif,12.69,851.6,27.7,81.1,6.0,7.6,31.2,124.5,74.6,136.5,Flood,165.3,7.52,0.8,1.59,20.18,20502,865223,413730,-451493,22011,0.917,48.8
SF10070,Karnataka,Warangal,Maize,Kharif,2.82,960.7,27.6,68.2,8.9,7.29,35.7,111.9,65.9,104.9,Flood,139.8,2.74,0.66,2.73,7.7,23906,171757,184076,12319,2056,3.745,59.3
SF10071,Maharashtra,Krishna,Cotton,Rabi,14.72,338.5,21.2,68.5,7.7,6.06,25.7,132.5,15.0,148.5,Drip,145.7,6.76,0.84,1.0,14.72,61717,960387,908474,-51913,9888,1.489,35.8
SF10072,Madhya Pradesh,Krishna,Maize,Rabi,1.48,342.0,19.3,62.5,8.2,6.73,31.4,112.7,75.1,112.8,Sprinkler,149.1,6.66,0.7,3.61,5.34,19548,105743,104386,-1357,916,5.83,29.3
SF10073,Tamil Nadu,Krishna,Cotton,Kharif,7.37,765.5,26.4,89.0,6.4,7.28,30.3,119.2,63.4,140.7,Sprinkler,110.1,7.05,0.73,1.38,10.17,71337,478922,725497,246575,6169,1.649,55.2
SF10074,Gujarat,Raichur,Maize,Rabi,1.41,80.0,26.2,64.6,7.6,6.76,30.1,85.8,38.5,128.9,Drip,121.9,6.85,0.95,3.26,4.6,19255,84476,88573,4097,777,5.92,26.7
SF10075,Madhya Pradesh,Nalgonda,Wheat,Kharif,13.3,935.5,28.0,55.6,6.8,7.21,27.3,131.9,48.9,93.9,Drip,149.7,0.64,0.72,2.77,36.84,22812,657906,840394,182488,5715,6.446,59.0
SF10076,Maharashtra,Guntur,Sugarcane,Kharif,10.64,869.0,33.2,82.3,5.6,6.42,37.4,148.0,104.4,90.2,Flood,212.2,5.8,0.79,62.58,665.85,3651,755288,2431018,1675730,23608,28.204,58.8
SF10077,Gujarat,Erode,Rice,Kharif,9.53,895.9,29.3,69.4,6.7,6.55,33.2,97.8,56.4,132.2,Flood,194.7,4.54,0.82,3.51,33.45,24003,693617,802900,109283,15015,2.228,46.1
SF10078,Punjab,Nashik,Rice,Kharif,12.47,752.1,30.0,79.9,7.6,5.69,35.2,107.1,72.0,59.2,Drip,302.2,3.21,0.83,1.21,15.09,20835,870507,314400,-556107,17522,0.861,52.0
SF10079,Madhya Pradesh,Nalgonda,Chilli,Rabi,10.0,288.6,23.8,61.1,6.9,6.65,26.4,151.5,67.7,182.6,Flood,154.3,1.94,0.9,2.18,21.8,106176,681239,2314637,1633398,6656,3.275,48.4
SF10080,Karnataka,Nashik,Sugarcane,Zaid,9.29,353.9,30.6,46.8,9.1,7.31,8.4,126.5,100.8,101.3,Rainfed,167.2,3.45,0.9,33.55,311.68,3955,541528,1232694,691166,8213,37.95,31.2
SF10081,Gujarat,Ludhiana,Wheat,Rabi,9.89,336.6,21.1,47.1,7.6,6.98,21.9,131.3,60.5,132.2,Drip,137.0,6.19,0.7,2.45,24.23,24188,543083,586075,42992,4311,5.621,31.4
SF10082,Madhya Pradesh,Nalgonda,Chilli,Kharif,4.98,840.8,28.0,70.9,7.9,5.66,28.3,134.4,46.7,94.8,Flood,151.4,7.02,0.77,0.6,2.99,101883,291542,304630,13088,4366,0.685,53.4
SF10083,Andhra Pradesh,Raichur,Sugarcane,Rabi,2.46,629.3,23.5,47.5,8.9,6.32,27.2,158.9,44.2,116.8,Rainfed,139.4,6.41,0.83,49.52,121.82,3654,165909,445130,279221,2611,46.656,35.2
SF10084,Karnataka,Warangal,Pulses,Rabi,7.06,347.6,24.4,51.4,6.9,6.69,19.7,121.2,40.0,78.1,Sprinkler,128.3,4.81,0.76,1.01,7.13,74942,364864,534336,169472,2392,2.981,44.1
SF10085,Telangana,Guntur,Wheat,Rabi,14.18,306.6,24.3,49.5,7.9,6.68,24.0,161.0,49.7,135.6,Rainfed,173.4,9.13,0.9,2.54,36.02,22904,958688,825002,-133686,4746,7.59,33.9
SF10086,Telangana,Krishna,Rice,Kharif,11.43,1007.5,27.9,63.6,6.3,6.4,26.3,83.8,47.9,124.7,Flood,249.6,2.55,0.98,3.33,38.06,17866,836159,679980,-156179,17890,2.127,54.5
SF10087,Gujarat,Guntur,Wheat,Kharif,2.94,999.5,31.1,77.8,8.0,6.92,39.9,143.0,51.8,94.6,Sprinkler,132.4,4.74,0.9,2.65,7.79,24206,176531,188565,12034,1608,4.845,48.3
SF10088,Madhya Pradesh,Warangal,Chilli,Kharif,5.72,931.0,28.2,70.2,8.9,6.93,27.8,77.7,68.9,107.2,Rainfed,236.9,5.57,0.8,1.98,11.33,109884,453409,1244986,791577,1628,6.959,55.9
SF10089,Andhra Pradesh,Raichur,Chilli,Kharif,13.29,782.6,22.9,55.5,5.9,6.55,37.3,80.3,58.6,92.0,Rainfed,106.8,8.08,0.82,2.19,29.11,92503,635701,2692762,2057061,4522,6.437,34.3
SF10090,Madhya Pradesh,Indore,Rice,Rabi,13.57,281.2,24.2,49.5,7.6,6.53,20.7,121.1,51.8,83.1,Drip,207.9,4.54,0.99,3.39,46.0,19221,896302,884166,-12136,20830,2.208,37.6
SF10091,Telangana,Guntur,Cotton,Rabi,10.09,599.6,23.8,66.7,8.0,6.04,28.3,122.9,81.9,73.5,Drip,173.1,7.97,0.8,1.39,14.03,60616,643648,850442,206794,5719,2.453,46.4
SF10092,Gujarat,Erode,Pulses,Rabi,12.32,683.4,29.7,37.8,7.5,6.7,21.8,111.9,54.0,65.2,Flood,117.7,5.41,0.91,1.58,19.47,58916,727065,1147095,420030,5323,3.658,35.7
SF10093,Gujarat,Guntur,Sugarcane,Kharif,12.74,973.7,29.9,57.5,7.4,6.65,25.8,110.1,57.6,89.8,Drip,134.0,4.39,0.72,70.23,894.73,3671,856862,3284554,2427692,18596,48.114,51.9
SF10094,Punjab,Nalgonda,Rice,Zaid,10.27,460.2,31.7,44.2,9.0,6.64,17.3,118.0,55.5,112.6,Flood,247.2,5.92,0.79,3.27,33.58,24002,766612,805987,39375,18301,1.835,17.1
SF10095,Maharashtra,Indore,Groundnut,Kharif,4.03,1096.7,27.3,82.9,7.6,6.48,32.8,146.1,40.3,82.4,Rainfed,232.1,6.66,0.77,1.5,6.04,64834,258458,391597,133139,731,8.263,59.4
SF10096,Gujarat,Warangal,Pulses,Kharif,3.76,950.0,25.5,84.0,5.8,6.33,33.7,140.9,62.8,130.3,Flood,150.0,3.28,0.95,1.21,4.55,70036,223965,318664,94699,1828,2.489,56.8
SF10097,Tamil Nadu,Guntur,Pulses,Kharif,10.41,585.6,29.2,70.1,7.1,7.64,34.6,98.5,72.5,135.0,Drip,164.5,4.97,0.96,0.55,5.73,82936,684024,475223,-208801,3010,1.904,45.5
SF10098,Maharashtra,Ludhiana,Groundnut,Kharif,9.1,652.8,25.0,77.5,7.6,7.23,29.9,98.3,42.8,126.9,Rainfed,253.1,3.82,0.79,1.42,12.92,53588,545378,692357,146979,2681,4.819,61.5
SF10099,Madhya Pradesh,Raichur,Pulses,Kharif,9.9,1121.7,27.6,75.5,6.1,6.85,39.5,107.2,89.9,103.5,Flood,167.8,4.7,0.87,1.06,10.49,88373,588226,927033,338807,4884,2.148,64.1
SF10100,Madhya Pradesh,Krishna,Wheat,Rabi,13.36,297.6,24.5,63.9,6.4,6.15,22.1,95.1,28.5,132.6,Flood,283.0,4.95,0.74,1.66,22.18,24589,908232,545384,-362848,9398,2.36,45.9

SF10101,Andhra Pradesh,Erode,Pulses,Rabi,3.05,585.1,23.0,51.5,7.4,6.26,31.6,142.0,76.6,138.3,Flood,147.9,7.39,0.68,1.09,3.32,67572,207017,224339,17322,1492,2.225,31.3
SF10102,Karnataka,Guntur,Wheat,Rabi,9.06,482.6,22.6,51.9,7.9,6.41,18.2,93.4,105.9,132.8,Flood,227.7,4.34,0.95,2.21,20.02,26429,549864,529109,-20755,5961,3.358,30.4
SF10103,Punjab,Ludhiana,Pulses,Rabi,4.45,703.6,21.8,52.5,5.7,6.48,28.3,121.8,57.4,115.6,Drip,193.1,2.63,0.69,1.35,6.01,86409,250066,519318,269252,1388,4.33,53.0
SF10104,Tamil Nadu,Nashik,Maize,Kharif,2.35,679.8,30.6,66.0,5.8,7.17,31.4,88.1,67.2,89.4,Sprinkler,193.7,3.09,0.85,3.51,8.25,16408,157988,135366,-22622,1402,5.884,42.8
SF10105,Gujarat,Krishna,Wheat,Zaid,12.3,80.0,30.5,61.2,10.2,5.44,16.8,100.3,53.0,125.6,Flood,302.3,5.9,0.87,0.3,3.69,26773,1063989,98792,-965197,9826,0.376,31.3
SF10106,Telangana,Warangal,Groundnut,Kharif,13.44,981.1,27.2,78.8,8.2,6.5,25.0,114.7,39.9,76.1,Rainfed,194.3,6.1,0.9,1.79,24.06,52927,857391,1273424,416033,3856,6.24,55.7
SF10107,Madhya Pradesh,Guntur,Groundnut,Zaid,11.21,241.9,32.0,37.0,9.3,7.28,21.3,119.5,42.9,98.4,Drip,347.9,10.76,0.89,1.0,11.21,58908,979301,660359,-318942,4291,2.612,5.0
SF10108,Maharashtra,Krishna,Groundnut,Kharif,0.73,758.7,29.5,95.0,5.0,5.2,25.6,75.5,44.9,89.9,Drip,172.9,3.64,0.9,0.3,0.22,52598,44813,11572,-33241,301,0.731,59.5
SF10109,Maharashtra,Rajkot,Cotton,Rabi,11.07,248.7,26.3,49.9,8.4,6.13,38.1,164.6,41.2,153.2,Drip,205.6,3.36,0.86,1.19,13.17,70978,655991,934780,278789,6911,1.906,44.5
SF10110,Telangana,Indore,Maize,Rabi,4.05,478.5,23.1,73.2,8.5,7.09,23.2,130.0,50.9,120.0,Drip,341.6,6.2,0.85,3.95,16.0,19804,279751,316864,37113,2055,7.786,44.9
SF10111,Maharashtra,Ludhiana,Pulses,Kharif,13.42,926.2,26.6,80.5,6.5,6.69,30.1,156.0,88.3,98.3,Drip,96.2,4.16,0.89,1.73,23.22,73297,584910,1701956,1117046,3763,6.171,58.5
SF10112,Andhra Pradesh,Rajkot,Groundnut,Rabi,5.8,410.9,23.5,51.4,6.3,7.08,27.4,141.7,76.5,73.7,Drip,181.6,5.67,0.7,1.89,10.96,66100,384950,724456,339506,2058,5.326,42.7
SF10113,Andhra Pradesh,Rajkot,Maize,Rabi,1.03,489.2,18.4,58.0,9.3,6.25,21.8,128.1,48.7,103.4,Rainfed,98.1,7.9,0.66,2.44,2.51,21424,60695,53774,-6921,291,8.625,20.3
SF10114,Tamil Nadu,Rajkot,Sugarcane,Rabi,14.35,740.8,24.8,72.5,7.9,7.0,26.3,87.3,30.2,107.6,Sprinkler,147.1,2.23,0.92,58.06,833.16,3807,847509,3171840,2324331,27123,30.718,64.2
SF10115,Andhra Pradesh,Ludhiana,Pulses,Kharif,11.89,937.3,22.8,72.9,6.8,6.89,23.1,61.3,62.8,140.9,Rainfed,174.4,1.89,0.69,0.99,11.77,74584,840145,877854,37709,2683,4.387,64.9
